company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,sales,net_profit,fcf,fcf_margin_pct,capex_sales_pct,capex_kpi_status
ABB,2012-12,101.0,-59.0,-42.0,1.0,1653.0,145.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2014-03,0.0,0.0,0.0,0.0,2276.0,198.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2015-03,-35.0,-1864.0,1902.0,3.0,2289.0,229.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2016-03,1544.0,-816.0,-722.0,6.0,2614.0,255.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2017-03,2189.0,-1730.0,-455.0,4.0,2903.0,277.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2018-03,2198.0,-3192.0,1589.0,596.0,3298.0,401.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2019-03,2591.0,-3050.0,38.0,-421.0,3679.0,450.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2020-03,5437.0,-5643.0,1250.0,1045.0,4093.0,593.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2021-03,3784.0,-4009.0,-745.0,-969.0,4310.0,691.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2022-03,4097.0,-3936.0,-235.0,-75.0,4913.0,799.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2023-03,3777.0,-4699.0,923.0,2.0,5349.0,949.0,,,,CAPEX_SOURCE_UNAVAILABLE
ABB,2024-03,6038.0,-4943.0,-543.0,551.0,5849.0,1201.0,,,,CAPEX_SOURCE_UNAVAILABLE
ADANIENSOL,2014-03,0.0,0.0,0.0,0.0,0.0,0.0,,,,CAPEX_SOURCE_UNAVAILABLE
ADANIENSOL,2015-03,-35.0,-1864.0,1902.0,3.0,131.0,-7.0,,,,CAPEX_SOURCE_UNAVAILABLE
ADANIENSOL,2016-03,1544.0,-816.0,-722.0,6.0,2194.0,368.0,,,,CAPEX_SOURCE_UNAVAILABLE
ADANIENSOL,2017-03,2189.0,-1730.0,-455.0,4.0,2876.0,416.0,,,,CAPEX_SOURCE_UNAVAILABLE
