company_id,year,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag
ABB,2012-12,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ABB,2014-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ABB,2015-03,11.461353640566884,NORMAL,,INSUFFICIENT,,INSUFFICIENT,16.454379771010252,NORMAL,,INSUFFICIENT,,INSUFFICIENT,16.673335619846075,NORMAL,,INSUFFICIENT,,INSUFFICIENT
ABB,2016-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ABB,2017-03,8.448843745667588,NORMAL,11.921838734412127,NORMAL,,INSUFFICIENT,11.841983239045506,NORMAL,13.820988595468453,NORMAL,,INSUFFICIENT,11.811584313781998,NORMAL,13.837903230220427,NORMAL,,INSUFFICIENT
ABB,2018-03,12.945331962917738,NORMAL,,INSUFFICIENT,,INSUFFICIENT,20.532166663372898,NORMAL,,INSUFFICIENT,,INSUFFICIENT,20.507113208761506,NORMAL,,INSUFFICIENT,,INSUFFICIENT
ABB,2019-03,12.066222956973572,NORMAL,10.080781986304022,NORMAL,,INSUFFICIENT,20.843727005349997,NORMAL,17.844539784792257,NORMAL,,INSUFFICIENT,20.888467374859875,NORMAL,17.91541463444244,NORMAL,,INSUFFICIENT
ABB,2020-03,12.132516711850805,NORMAL,12.3257146520954,NORMAL,,INSUFFICIENT,28.881814392650472,NORMAL,20.960574881373727,NORMAL,,INSUFFICIENT,28.98927952402115,NORMAL,20.902725032898985,NORMAL,,INSUFFICIENT
ABB,2021-03,9.330719525085506,NORMAL,10.518335991975135,NORMAL,,INSUFFICIENT,19.888600782632835,NORMAL,22.0639932086115,NORMAL,,INSUFFICIENT,19.804698975219594,NORMAL,22.05074170726322,NORMAL,,INSUFFICIENT
ABB,2022-03,10.12155249022577,NORMAL,11.09638963877595,NORMAL,11.508350382948883,NORMAL,21.090876237347132,NORMAL,23.598557458021684,NORMAL,18.609063729741315,NORMAL,21.046060957074488,NORMAL,23.665597033231876,NORMAL,18.65004116297846,NORMAL
ABB,2023-03,9.331074852709765,NORMAL,10.155044260938272,NORMAL,,INSUFFICIENT,16.968927101051246,NORMAL,18.8021685142332,NORMAL,,INSUFFICIENT,17.01308782012354,NORMAL,18.787062786952035,NORMAL,,INSUFFICIENT
ABB,2024-03,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.898290364739681,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL
ADANIENSOL,2014-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENSOL,2015-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENSOL,2016-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENSOL,2017-03,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT
ADANIENSOL,2018-03,211.09178071953335,NORMAL,,INSUFFICIENT,,INSUFFICIENT,,TURNAROUND,,INSUFFICIENT,,INSUFFICIENT,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT
ADANIENSOL,2019-03,49.32339852079905,NORMAL,,ZERO_BASE,,INSUFFICIENT,14.95326996489721,NORMAL,,ZERO_BASE,,INSUFFICIENT,18.56311014966876,NORMAL,,ZERO_BASE,,INSUFFICIENT
ADANIENSOL,2020-03,58.33430720140576,NORMAL,144.37036240267406,NORMAL,,INSUFFICIENT,19.280776269879674,NORMAL,,TURNAROUND,,INSUFFICIENT,20.507113208761506,NORMAL,,ZERO_BASE,,INSUFFICIENT
ADANIENSOL,2021-03,36.02303315044746,NORMAL,35.240737223764505,NORMAL,,INSUFFICIENT,4.115285245860001,NORMAL,28.513389561027825,NORMAL,,INSUFFICIENT,3.228011545636722,NORMAL,29.674411610965823,NORMAL,,INSUFFICIENT
ADANIENSOL,2022-03,15.508428339343316,NORMAL,31.381577615305556,NORMAL,,INSUFFICIENT,30.277341516191925,NORMAL,24.332603568890065,NORMAL,,INSUFFICIENT,30.059144685138705,NORMAL,22.423992536427463,NORMAL,,INSUFFICIENT
ADANIENSOL,2023-03,5.204992130714481,NORMAL,27.507937149916796,NORMAL,,INSUFFICIENT,21.968629219492808,NORMAL,2.3058763473555732,NORMAL,,INSUFFICIENT,16.260329205681458,NORMAL,1.9244876491456564,NORMAL,,INSUFFICIENT
ADANIENSOL,2024-03,18.715011322879892,NORMAL,17.85124994851739,NORMAL,,ZERO_BASE,-2.4904490462308027,NORMAL,16.42972571572392,NORMAL,,ZERO_BASE,-3.1270693848535758,NORMAL,14.869835499703509,NORMAL,,ZERO_BASE
ADANIENT,2013-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENT,2014-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENT,2015-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIENT,2016-03,-9.822320328171163,NORMAL,,INSUFFICIENT,,INSUFFICIENT,-6.3622641625924015,NORMAL,,INSUFFICIENT,,INSUFFICIENT,-15.65673346982508,NORMAL,,INSUFFICIENT,,INSUFFICIENT
ADANIENT,2017-03,-12.720191700604078,NORMAL,,INSUFFICIENT,,INSUFFICIENT,-29.554925791176643,NORMAL,,INSUFFICIENT,,INSUFFICIENT,-23.36905676064469,NORMAL,,INSUFFICIENT,,INSUFFICIENT
ADANIENT,2018-03,-17.708767504438207,NORMAL,-4.9788782627487205,NORMAL,,INSUFFICIENT,-36.29911390169962,NORMAL,-13.378074899332725,NORMAL,,INSUFFICIENT,-27.008014335201846,NORMAL,-14.137929651551106,NORMAL,,INSUFFICIENT
ADANIENT,2019-03,5.890782050790433,NORMAL,-5.975222430379501,NORMAL,,INSUFFICIENT,-20.313728713037616,NORMAL,-28.168963139116254,NORMAL,,INSUFFICIENT,-8.035860787295979,NORMAL,-18.93869169010509,NORMAL,,INSUFFICIENT
ADANIENT,2020-03,5.911910945095755,NORMAL,-7.606982238213844,NORMAL,,INSUFFICIENT,3.9833653228128707,NORMAL,-14.663139176416905,NORMAL,,INSUFFICIENT,3.5744168651286268,NORMAL,-11.09104638678,NORMAL,,INSUFFICIENT
ADANIENT,2021-03,3.2459461046949967,NORMAL,3.058667787307945,NORMAL,,INSUFFICIENT,20.757768726443793,NORMAL,0.9035246758499982,NORMAL,,INSUFFICIENT,4.551591714942038,NORMAL,-2.3281316138826114,NORMAL,,INSUFFICIENT
ADANIENT,2022-03,19.796192956691726,NORMAL,13.699840248771,NORMAL,,INSUFFICIENT,15.911155042442072,NORMAL,-3.155068356762114,NORMAL,,INSUFFICIENT,0.0,NORMAL,-4.902060720441037,NORMAL,,INSUFFICIENT
ADANIENT,2023-03,43.2327140592222,NORMAL,28.84048322057997,NORMAL,10.646135227530706,NORMAL,32.55016311333752,NORMAL,32.45780037178554,NORMAL,7.115590194910215,NORMAL,30.059144685138705,NORMAL,25.73753098024454,NORMAL,3.904209397242564,NORMAL
ADANIENT,2024-03,34.60338228109774,NORMAL,19.015414753081238,NORMAL,5.78467705445147,NORMAL,47.182006037517255,NORMAL,45.81058899665285,NORMAL,2.3412223540726584,NORMAL,51.82944859378311,NORMAL,31.95079107728942,NORMAL,3.4219694129380196,NORMAL
ADANIGREEN,2017-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIGREEN,2018-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIGREEN,2019-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIGREEN,2020-03,71.87869176489616,NORMAL,,INSUFFICIENT,,INSUFFICIENT,,BOTH_NEGATIVE,,INSUFFICIENT,,INSUFFICIENT,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT
ADANIGREEN,2021-03,28.277288090725804,NORMAL,,INSUFFICIENT,,INSUFFICIENT,,TURNAROUND,,INSUFFICIENT,,INSUFFICIENT,,TURNAROUND,,INSUFFICIENT,,INSUFFICIENT
ADANIGREEN,2022-03,35.615281969114456,NORMAL,59.19649782184464,NORMAL,,INSUFFICIENT,,TURNAROUND,,TURNAROUND,,INSUFFICIENT,,TURNAROUND,,ZERO_BASE,,INSUFFICIENT
ADANIGREEN,2023-03,45.03143324246328,NORMAL,39.347412006991476,NORMAL,,INSUFFICIENT,,TURNAROUND,,TURNAROUND,,INSUFFICIENT,,ZERO_BASE,,TURNAROUND,,INSUFFICIENT
ADANIGREEN,2024-03,43.44099813858789,NORMAL,34.976172926382844,NORMAL,,INSUFFICIENT,90.58982840512462,NORMAL,,TURNAROUND,,INSUFFICIENT,91.29311827723889,NORMAL,,TURNAROUND,,INSUFFICIENT
ADANIPORTS,2013-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIPORTS,2014-03,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
