table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-09-22T16:45:36,0.0048
profitandloss,1276,1070,206,2026-09-22T16:45:36,0.0229
balancesheet,1312,1140,172,2026-09-22T16:45:36,0.0142
cashflow,1187,1056,131,2026-09-22T16:45:36,0.0132
analysis,20,16,4,2026-09-22T16:45:36,0.006
documents,1585,1457,128,2026-09-22T16:45:36,0.0142
prosandcons,16,14,2,2026-09-22T16:45:36,0.0062
sectors,92,92,0,2026-09-22T16:45:36,0.0042
market_cap,552,552,0,2026-09-22T16:45:36,0.0266
stock_prices,5520,5520,0,2026-09-22T16:45:36,0.065
