id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,reject_rule,reject_reason,source_table,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,operating_activity,investing_activity,financing_activity,net_cash_flow,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,Year,Annual_Report,pros,cons
1263,ULTRACEMCO,2013-03,20514.0,15674.0,4839.0,24.0,304.0,252.0,1023.0,3867.0,30.0,2688.0,98.0,9.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1264,ULTRACEMCO,2014-03,20730.0,16695.0,4035.0,19.0,322.0,361.0,1139.0,2858.0,23.0,2213.0,80.0,11.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1265,ULTRACEMCO,2015-03,23306.0,18881.0,4425.0,19.0,350.0,587.0,1203.0,2986.0,30.0,2102.0,76.0,12.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1266,ULTRACEMCO,2016-03,25153.0,20252.0,4901.0,19.0,464.0,566.0,1377.0,3421.0,28.0,2480.0,90.0,11.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1267,ULTRACEMCO,2017-03,25375.0,20162.0,5212.0,21.0,648.0,640.0,1348.0,3872.0,30.0,2714.0,99.0,10.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1268,ULTRACEMCO,2018-03,30979.0,24834.0,6145.0,20.0,242.0,1238.0,1848.0,3301.0,33.0,2224.0,81.0,13.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1269,ULTRACEMCO,2019-03,41462.0,34115.0,7347.0,18.0,350.0,1778.0,2451.0,3468.0,31.0,2400.0,88.0,13.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1270,ULTRACEMCO,2020-03,42430.0,33184.0,9246.0,22.0,651.0,1992.0,2723.0,5183.0,-11.0,5751.0,199.0,7.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1271,ULTRACEMCO,2021-03,44726.0,33158.0,11568.0,26.0,619.0,1486.0,2700.0,8001.0,32.0,5462.0,189.0,20.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
1272,ULTRACEMCO,2022-03,52599.0,41084.0,11514.0,22.0,669.0,945.0,2715.0,8524.0,14.0,7334.0,254.0,15.0,DQ-03,company_id not found in companies,profitandloss,,,,,,,,,,,,,,,,,,,,,,
